seed,ate_orig,ate_leaky,ate_clean,se_orig,se_leaky,se_clean,err_orig,err_leaky,err_clean
0,633.6031928110826,687.2120431595604,632.395341987085,35.8299950550785,8.11321710857454,35.951904999700986,27.009752779911423,26.59909756856632,28.217603603909083
1,567.9972898084559,656.0372838175936,577.6479883626799,35.6983115801604,7.7749446204569805,35.647991876773155,92.61565578253817,4.575661773400498,82.96495722831412
2,625.8092964461632,653.974899516586,606.1986901205681,36.35975832960365,7.996765975297425,36.421044373119905,34.80364914483084,6.6380460744080665,54.41425547042593
3,671.3823529613973,668.0045275752432,656.3274892990743,35.5727320575153,7.678012233449105,35.296031618339235,10.7694073704032,7.391581984249115,4.285456291919786
4,658.712954617604,662.1664751937799,661.6013923787566,36.26291957831584,7.528887482833584,35.97863799183287,1.899990973390004,1.5535296027858294,0.9884467877625411
5,639.8063165190305,641.8373225437936,655.0506327251969,36.114858223372586,8.041092187880274,35.578096011374214,20.806629071963584,18.775623047200497,5.562312865797139
6,592.5530269926652,656.0852966556922,589.1866695719431,36.1496705607844,7.987277806859807,35.95497126461245,68.05991859832886,4.5276489353018405,71.42627601905099
7,648.2409760275395,661.1862076307584,646.9341184364476,36.27070442605693,7.551854967942107,35.75456791874811,12.371969563454513,0.5732620397643586,13.678827154546411
8,626.1502112571825,637.8583171578222,631.0353143290297,35.90843886901298,7.563492811925329,35.84088823174948,34.46273433381157,22.754628433171888,29.57763126196437
9,722.5569540265166,655.7501861843801,718.9012462036912,36.24737840335155,7.723842046964643,36.52540037757262,61.944008435522505,4.862759406613918,58.288300612697185
10,658.7420349869037,652.5190712756383,655.6558585779497,35.28701291101655,7.859180140252178,35.30983156546447,1.8709106040903407,8.09387431535572,4.957087013044315
11,680.1466244374569,668.0464942723462,663.5884451216153,36.15611100481997,8.12293304254126,36.074991679857035,19.533678846462863,7.433548681352136,2.9754995306212777
12,599.6371690832997,637.603753738066,598.5161316065885,36.000646783543644,7.410408282205718,35.58460344123378,60.97577650769438,23.009191852928097,62.09681398440557
13,642.5795303147769,655.6069029169145,651.345838378304,36.577406917807714,7.564046439617278,36.386172765445686,18.03341527621717,5.006042674079595,9.267107212690007
14,626.9955197978538,658.6406040340503,617.0589692343746,36.77676398123794,7.6350205687869535,36.552652786724046,33.61742579314023,1.9723415569437748,43.5539763566195
15,606.8871916827787,653.1652547695253,609.2360659224775,36.633488298959975,7.635468693348054,36.65973077898099,53.725753908215324,7.447690821468768,51.37687966851661
16,664.4679184185609,652.6892351268095,654.4959961669529,35.47587592790075,7.731577115181381,35.373933697906445,3.854972827566826,7.9237104641845235,6.116949424041195
17,643.0840176588669,655.0178628878742,631.9026382380857,36.185128416545666,7.709624807602293,35.86881682489177,17.528927932127203,5.595082703119829,28.71030735290833
18,625.3813861194704,649.881423212987,634.2563763715418,36.596009645005694,7.763444678571748,36.5694860755144,35.23155947152361,10.731522378007071,26.35656921945224
19,746.480784007137,662.754882621994,746.0373340356572,36.370842481926374,8.004169701673266,36.509332549673935,85.86783841614294,2.1419370309999977,85.42438844466312
20,617.6829754457231,644.2237301434644,633.6821072058118,36.18159996073253,7.8697730805263335,36.0228076631387,42.929970145271,16.389215447529637,26.930838385182255
21,662.3797778408763,663.5117872238417,641.9990251675453,35.754617223538304,7.922494805004635,35.566322466787476,1.7668322498822135,2.8988416328476205,18.613920423448803
22,598.8741845700147,648.8109771672507,600.0197641197681,35.87756650736373,8.30590790126328,35.72335632544003,61.73876102097938,11.801968423743347,60.59318147122599
23,618.9080995591747,654.6919639902544,621.7119493531633,36.83536812075361,7.7698987315152905,36.42087980266476,41.70484603181933,5.920981600739651,38.90099623783078
24,603.0309479939937,643.569295510764,609.0516160202995,36.09634144434355,7.517903987172266,36.02954446885661,57.581997597000395,17.04365008023001,51.56132957069451
25,679.0785321729229,660.2006110543975,690.3727896460896,36.35925241749959,7.875437004325378,36.26801673606497,18.465586581928846,0.41233453659651786,29.759844055095527
26,683.656304774071,657.0585707903398,678.7644134034065,36.55947130172618,7.716246620745434,36.43929029079603,23.043359183076973,3.554374800654273,18.15146781241242
27,695.5052710238335,650.6316947551184,699.5641904633063,36.59150097583472,7.710363170400437,36.04831556311129,34.89232543283947,9.981250835875699,38.95124487231226
28,624.5719447689099,642.836342882708,622.236987316035,35.620472638192766,7.648368939474221,35.35800866685246,36.04100082208413,17.776602708286077,38.37595827495909
29,706.2858197182825,646.0201582114051,720.4681158565018,36.376035998273686,7.552814006012826,36.15872303799405,45.67287412728842,14.592787379588913,59.855170265507695
