alpha,seed,ate,bias,abs_bias,se
0.0,0,679.091376477088,18.478430886093975,18.478430886093975,36.311046327438035
0.0,1,633.3717417308499,-27.241203860144196,27.241203860144196,35.85371108719643
0.0,2,672.8678279481101,12.254882357116003,12.254882357116003,36.69441858194069
0.0,3,685.0045257203486,24.391580129354566,24.391580129354566,36.04456131736006
0.0,4,703.9407018454722,43.32775625447812,43.32775625447812,36.28154882892305
0.0,5,644.3228157003495,-16.290129890644607,16.290129890644607,35.227681094016546
0.0,6,640.9359361399048,-19.677009451089248,19.677009451089248,35.72711603110738
0.0,7,647.1656983054703,-13.447247285523758,13.447247285523758,36.221583024305794
0.0,8,694.7546700039214,34.141724412927374,34.141724412927374,35.90215528544843
0.0,9,632.8268449703124,-27.786100620681623,27.786100620681623,36.15437431099552
0.0,10,740.6702466841737,80.0573010931796,80.0573010931796,36.288121446803416
0.0,11,682.1281175927172,21.51517200172316,21.51517200172316,36.02792996755394
0.0,12,672.6353583517405,12.02241276074642,12.02241276074642,36.3972567754016
0.0,13,664.7334621045757,4.120516513581606,4.120516513581606,36.01927268539777
0.0,14,627.9126396073048,-32.700305983689304,32.700305983689304,36.04962291255195
0.1,0,687.5846933634376,26.971747772443564,26.971747772443564,30.775008790591784
0.1,1,635.8628946935445,-24.75005089744957,24.75005089744957,30.686896448417137
0.1,2,667.0678193512033,6.454873760209239,6.454873760209239,31.842827961671667
0.1,3,673.5680609170147,12.955115326020632,12.955115326020632,30.63592211124124
0.1,4,683.0270391972587,22.4140936062646,22.4140936062646,31.325484872073876
0.1,5,663.6231527123047,3.0102071213106,3.0102071213106,30.263330279516577
0.1,6,636.0529344046844,-24.56001118630968,24.56001118630968,31.242028274419045
0.1,7,651.8842727163208,-8.728672874673293,8.728672874673293,30.506270684730072
0.1,8,679.6832365717064,19.070290980712343,19.070290980712343,31.083521487312733
0.1,9,646.9514603584447,-13.661485232549353,13.661485232549353,31.129184581757414
0.1,10,704.4726791020377,43.8597335110436,43.8597335110436,30.751642160966597
0.1,11,687.8731223154533,27.260176724459257,27.260176724459257,31.140160159621743
0.1,12,655.6835292194398,-4.929416371554225,4.929416371554225,30.934470565136596
0.1,13,654.837670773091,-5.775274817903096,5.775274817903096,30.85152075077131
0.1,14,649.4672552501379,-11.145690340856163,11.145690340856163,31.09812116763941
0.2,0,670.6184395031268,10.005493912132692,10.005493912132692,21.453121455568546
0.2,1,646.0276008510328,-14.585344739961215,14.585344739961215,21.45716092205773
0.2,2,651.3265538560026,-9.286391734991412,9.286391734991412,21.298455175692904
0.2,3,671.234586827598,10.621641236603978,10.621641236603978,21.787193997895866
0.2,4,664.9191990941725,4.306253503178482,4.306253503178482,21.755799750434736
0.2,5,684.5570738557595,23.94412826476548,23.94412826476548,21.1878819991161
0.2,6,634.6855503607991,-25.927395230194975,25.927395230194975,22.440724750004858
0.2,7,644.3866713493558,-16.226274241638293,16.226274241638293,21.874679293242256
0.2,8,676.9111596471369,16.298214056142797,16.298214056142797,21.69402682610765
0.2,9,665.7982262598521,5.185280668858013,5.185280668858013,20.739383440772762
0.2,10,682.982795423371,22.369849832376985,22.369849832376985,21.978792062667523
0.2,11,668.7612901585806,8.148344567586491,8.148344567586491,21.32933365352387
0.2,12,662.8872545331441,2.2743089421500144,2.2743089421500144,21.45968810139135
0.2,13,670.9752688930349,10.362323302040863,10.362323302040863,21.796528496947975
0.2,14,653.6709614869893,-6.941984104004746,6.941984104004746,21.28109181352512
0.3,0,653.8235944758825,-6.789351115111572,6.789351115111572,16.056479457113156
0.3,1,658.1713188399298,-2.441626751064291,2.441626751064291,16.52098896236403
0.3,2,656.9939968334986,-3.6189487574954455,3.6189487574954455,15.975502875735538
0.3,3,665.094132053774,4.481186462779988,4.481186462779988,16.58223695810105
0.3,4,657.894073926873,-2.718871664121025,2.718871664121025,16.216879207502217
0.3,5,677.1237777867643,16.510832195770263,16.510832195770263,16.117757257230476
0.3,6,640.6110922737258,-20.00185331726823,20.00185331726823,16.698123097595325
0.3,7,656.5185266320963,-4.094418958897791,4.094418958897791,16.43218092062072
0.3,8,672.9761324980526,12.363186907058548,12.363186907058548,16.522926536461313
0.3,9,660.5846496362169,-0.028295954777149745,0.028295954777149745,16.269506800966305
0.3,10,675.484337200683,14.871391609688885,14.871391609688885,16.894931011793954
0.3,11,677.7892863216146,17.176340730620495,17.176340730620495,16.35694570418944
0.3,12,659.0081115733093,-1.604834017684766,1.604834017684766,16.045140634093585
0.3,13,664.2269506769891,3.614005085995018,3.614005085995018,16.254397516453487
0.3,14,656.4200020813856,-4.192943509608426,4.192943509608426,16.81792707768697
0.4,0,650.1177958259458,-10.495149765048268,10.495149765048268,12.559019352883253
0.4,1,658.2866615181506,-2.326284072843464,2.326284072843464,12.65569029240031
0.4,2,658.2515951138737,-2.361350477120368,2.361350477120368,13.041899863871976
0.4,3,660.8601796581185,0.24723406712439555,0.24723406712439555,13.104778336443399
0.4,4,649.1760364552807,-11.436909135713336,11.436909135713336,12.341860085108424
0.4,5,663.5235881629114,2.9106425719173785,2.9106425719173785,12.551096391011836
0.4,6,641.1678573402586,-19.445088250735466,19.445088250735466,12.961074281786816
0.4,7,655.6076660198614,-5.0052795711326326,5.0052795711326326,12.832102178941213
0.4,8,664.550621164518,3.9376755735239612,3.9376755735239612,12.667581261199729
0.4,9,652.2253023572873,-8.38764323370674,8.38764323370674,12.563360994902308
